Size(sq feet),Price
700,4901400
710,5042420
720,5185440
730,5330460
740,5477480
750,5626500
760,5777520
770,5930540
780,6085560
790,6242580
800,6401600
810,6562620
820,6725640
830,6890660
840,7057680
850,7226700
860,7397720
870,7570740
880,7745760
890,7922780
900,8101800
910,8282820
920,8465840
930,8650860
940,8837880
950,9026900
960,9217920
970,9410940
980,9605960
990,9802980
1000,10002000
1010,10203020
1020,10406040
1030,10611060
1040,10818080
1050,11027100
1060,11238120
1070,11451140
1080,11666160
1090,11883180
1100,12102200
1110,12323220
1120,12546240
1130,12771260
1140,12998280
1150,13227300
1160,13458320
1170,13691340
1180,13926360
1190,14163380
1200,14402400
1210,14643420
1220,14886440
1230,15131460
1240,15378480
1250,15627500
1260,15878520
1270,16131540
1280,16386560
1290,16643580
1300,16902600
1310,17163620
1320,17426640
1330,17691660
1340,17958680
1350,18227700
1360,18498720
1370,18771740
1380,19046760
1390,19323780
1400,19602800
1410,19883820
1420,20166840
1430,20451860
1440,20738880
1450,21027900
1460,21318920
1470,21611940
1480,21906960
1490,22203980
1500,22503000
1510,22804020
1520,23107040
1530,23412060
1540,23719080
1550,24028100
1560,24339120
1570,24652140
1580,24967160
1590,25284180
1600,25603200
1610,25924220
1620,26247240
1630,26572260
1640,26899280
1650,27228300
1660,27559320
1670,27892340
1680,28227360
1690,28564380
1700,28903400
1710,29244420
1720,29587440
1730,29932460
1740,30279480
1750,30628500
1760,30979520
1770,31332540
1780,31687560
1790,32044580
1800,32403600
1810,32764620
1820,33127640
1830,33492660
1840,33859680
1850,34228700
1860,34599720
1870,34972740
1880,35347760
1890,35724780
1900,36103800
1910,36484820
1920,36867840
1930,37252860
1940,37639880
1950,38028900
1960,38419920
1970,38812940
1980,39207960
1990,39604980
2000,40004000
2010,40405020
2020,40808040
2030,41213060
2040,41620080
2050,42029100
2060,42440120
2070,42853140
2080,43268160
2090,43685180
2100,44104200
2110,44525220
2120,44948240
2130,45373260
2140,45800280
2150,46229300
2160,46660320
2170,47093340
2180,47528360
2190,47965380
2200,48404400
2210,48845420
2220,49288440
2230,49733460
2240,50180480
2250,50629500
2260,51080520
2270,51533540
2280,51988560
2290,52445580
2300,52904600
2310,53365620
2320,53828640
2330,54293660
2340,54760680
2350,55229700
2360,55700720
2370,56173740
2380,56648760
2390,57125780
2400,57604800
